Category,Model,Count
通用模型,GLM-4.6,3
通用模型,GLM-4.6V-FlashX,3
通用模型,GLM-4.7,2
图像大模型,GLM-Image,1
通用模型,GLM-5-Turbo,1
通用模型,GLM-5V-Turbo,1
通用模型,GLM-5.1,10
通用模型,GLM-Z1-Air,30
通用模型,GLM-4.5,10
向量模型,embedding-3-pro,100
通用模型,GLM-4.6V,10
通用模型,GLM-4.7-Flash,1
通用模型,GLM-4.7-FlashX,3
通用模型,GLM-OCR,2
通用模型,GLM-5,2
通用模型,GLM-4-Plus,20
通用模型,GLM-Z1-Flash,30
通用模型,GLM-Z1-AirX,30
通用模型,GLM-4.5V,10
通用模型,GLM-4.6V-Flash,1
通用模型,AutoGLM-Phone,5
通用模型,AutoGLM-Phone-Multilingual,5
通用模型,GLM-4-0520,20
通用模型,Search-Pro,5
通用模型,Search-Std,50
通用模型,GLM-4.5-Air,5
通用模型,GLM-4.5-AirX,5
通用模型,GLM-4-AirX,5
实时音视频模型,GLM-Realtime,5
通用模型,GLM-4-Flash-250414,2
通用模型,GLM-4-FlashX-250414,50
实时音视频模型,GLM-Realtime-Flash,5
实时音视频模型,GLM-Realtime-Air,5
通用模型,GLM-4.5-Flash,2
通用模型,GLM-4V-Plus-0111,5
通用模型,GLM-Zero-Preview,50
通用模型,GLM-4-Air,100
通用模型,GLM-4-Air-250414,30
通用模型,GLM-4-32B-0414-128K,15
通用模型,GLM-4-Long,10
通用模型,GLM-4-FlashX,50
通用模型,GLM-4.1V-Thinking-Flash,5
通用模型,GLM-4.1V-Thinking-FlashX,30
通用模型,GLM-4-Voice,5
通用模型,GLM-4-Flash,20
通用模型,GLM-Z1-FlashX,50
通用模型,GLM-4-9B,5
通用模型,GLM-4V-Plus,5
通用模型,GLM-4V-Flash,10
通用模型,GLM-4V,5
通用模型,Web-Search-Pro,30
实时音视频模型,GLM-ASR,5
重排序模型,Rerank,50
图像大模型,CogView-4-250304,5
图像大模型,CogView-3-Plus,5
图像大模型,CogView-4,5
图像大模型,CogView-3-Flash,1
图像大模型,CogView-3,5
视频生成模型,CogVideoX-Flash,3
视频生成模型,CogVideoX,5
视频生成模型,CogVideoX-2,5
音频模型,CogTTS-Clone,2
实时音视频模型,CogTTS,5
实时音视频模型,GLM-TTS,5
音频模型,GLM-TTS-Clone,2
实时音视频模型,GLM-ASR-2512,5
视频生成模型,ViduQ1-text,5
视频生成模型,Viduq1-Image,5
视频生成模型,Viduq1-Start-End,5
视频生成模型,Vidu2-Image,5
视频生成模型,Vidu2-Start-End,5
视频生成模型,Vidu2-Reference,5
向量模型,Embedding-3,50
向量模型,Embedding-2,50
通用模型,GLM-4-AllTools,5
通用模型,GLM-4-Assistant,5
代码模型,CodeGeeX-4,50
通用模型,GLM-4,30
通用模型,CharGLM-4,5
通用模型,GLM-3-Turbo,50
模型工具,Moderation,5
视频生成模型,CogVideoX-3,1
通用模型,GLM-Experimental-Preview,5
